AIRLINE_CODE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIR_TIME,DISTANCE,CANCELLED
UA,220,N813UA,,EWR,140,1167,0
UA,654,N422UA,,MCO,127,1005,0
EV,6119,N16951,,ORD,123,642,0
OO,5456,N920SW,,SFO,68,462,0
HA,205,N484HA,OGG,HNL,23,100,0
OO,4494,N431SW,SJC,SLC,106,584,0
OO,5370,N979SW,ORD,MBS,37,222,0
US,1709,N677AW,EWR,CLT,95,529,0
WN,828,N8303R,PHX,BWI,210,1999,0
UA,1632,N37464,SEA,IAD,252,2306,0
UA,1725,N72405,LAS,SFO,62,414,0
AA,168,N5BSAA,DFW,MIA,129,1121,0
AA,1315,N424AA,BNA,DFW,,631,1
AA,1336,N3LCAA,PHX,DFW,108,868,0
AA,1619,N3AMAA,BOS,MIA,179,1258,0
AA,1686,N4XXAA,LAX,STL,183,1592,0
AS,345,N469AS,OAK,SEA,95,671,0
AS,454,N442AS,SEA,LAX,122,954,0
B6,57,N348JB,BOS,IAD,73,413,0
B6,24,N923JB,LAX,JFK,279,2475,0
B6,1279,N355JB,DCA,FLL,126,899,0
B6,1836,N281JB,DTW,BOS,74,632,0
AA,1361,N3KYAA,BNA,LAX,255,1797,0
DL,327,N692DL,PHL,ATL,103,666,0
DL,1492,N819DN,PHX,MSP,145,1276,0
B6,1554,N760JB,SJU,FLL,147,1046,0
EV,4556,N41104,VPS,IAH,99,528,0
EV,6071,N14186,GUC,DEN,34,152,0
F9,1252,N910FR,MIA,LGA,147,1096,0
MQ,3323,N613MQ,RIC,MIA,123,825,0
MQ,3601,N530MQ,DTW,LGA,68,502,0
MQ,3551,N663MQ,ORF,MIA,128,802,0
OO,5572,N970SW,MOT,DEN,84,604,0
AA,1312,N021AA,STL,MIA,127,1068,0
B6,269,N834JB,BOS,FLL,174,1237,0
EV,4506,N12552,MLU,IAH,58,262,0
OO,5337,N961SW,MAF,DEN,,563,1
NK,562,N510NK,LAX,LAS,44,236,0
UA,416,N496UA,PDX,ORD,207,1739,0
B6,1403,N763JB,JFK,SJU,182,1598,0
HA,107,N476HA,KOA,HNL,30,163,0
OO,4681,N783CA,EUG,SLC,90,618,0
US,1754,N815AW,RNO,PHX,84,601,0
US,1789,N543UW,PHX,CLT,183,1773,0
WN,1966,N466WN,CMH,ATL,65,447,0
WN,2351,N7728D,HOU,ATL,91,696,0
WN,137,N621SW,HOU,PHX,160,1020,0
AA,1125,N3KCAA,DTW,DFW,,986,1
AA,1165,N3ACAA,BOS,JFK,44,187,0
AA,1581,N3KGAA,DFW,DCA,,1192,1
AA,2253,N437AA,MSP,DFW,128,852,0
AS,504,N627AS,SEA,SNA,129,978,0
B6,99,N274JB,BDL,DCA,67,313,0
B6,962,N709JB,SJU,BOS,244,1674,0
B6,2006,N566JB,FLL,EWR,148,1065,0
DL,828,N910AT,MOB,ATL,43,302,0
,978,N693DL,SAN,SLC,89,626,0
,985,N352NW,LAS,SLC,60,368,0
,1275,N920DN,DCA,DTW,73,405,0
,2384,N361NB,SMF,SLC,80,532,0
,1610,N385DN,DEN,,121,1123,0
,1866,N827DN,SFO,,251,2139,0
,1919,N321NB,LGA,,172,1020,0
,2522,N879AS,LAW,,30,140,0
,2512,N901EV,BRO,,68,482,0
,2572,N876AS,PIB,,15,69,0
,4531,N14204,CHS,,163,925,0
,4655,N13202,MEM,,88,468,0
,5123,N847AS,MGM,ATL,27,147,0
,582,N221FR,SLC,DEN,64,391,0
,439,N931FR,OMA,DEN,73,472,0
,2958,N657MQ,FAR,DFW,,968,1
,3432,N546MQ,DCA,JFK,41,213,0
